ID,start.time,completion.time,email,sector.of.work,organization.of.work,country.work,Biodiversity and conservation,Natural resources and ecosystem services,Human health and wellbeing,Nature education and recreation,Equity diversity and inclusion and access to nature,Policy,Other,work.,Policy2,Management,Academia,Practictioner,engage.more,scale.engagement,Lack.time.resources,Mandate-recognition,Mandate-funding,Networking,Access and Knowledge,Past negative experiences,Scale mismatch,Lack of interest/not relevant,additional.barriers,stage.barrier,Briefly explain your experience with these barriers,explain.project,markers.success,Existing personal connection,Direct engagement,Funding opportunity,Student research,Place-based engagement,additional.markers.success,change1,feasibility1,change2,feasibility2
1,9-14-23 12:49:16,9-14-23 13:39:37,anonymous,Management,Non-Governmental Organization (NGO),Canada,Primary importance,Primary importance,Primary importance,Primary importance,Primary importance,Secondary importance,,1,"Often (e.g., quarterly)","Very often (e.g., weekly to monthly)",Infrequently,"Very often (e.g., weekly to monthly)",I see the benefits in finding more alignments with academic institutions,"Local municipal (for example, city pollinator protection plan, neighbourhood initiatives)",Very important,Not applicable,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Not applicable,"Possibly a lack of (concise) shared goals, wherein we're all trying to achieve similar-yet-different aims. ;","Middle- actively working together, maintaining momentum, logistical issues","A lot of orgs lack the time and resources (usually money and person-power) to look outside of their own mandates and goals, which means that well-intentioned conversations often drop off over time. ","Most of what Park People does as an organization places us in the role of connector/convener between municipal/provincial/federal decision-makers, grassroots practitioners, NGOs (at various stages in their growth), funders, and researchers. The Cornerstone Parks program, in particular, distributes funding to large urban park-based NGOs to work with volunteer communities in meeting their stewardship and conservation/restoration targets, while Park People (and our collaborating researchers) study the impacts of their work, seek(s) to move the needle on parks policy at various levels, and educate(s) others (who don't receive our funding) on how to do the same in their own city's parks. The program is currently in its 3rd year; covers topics including parks stewardship and conservation/restoration, community health and wellness impacts of the work, DEIJ initiatives to improve park access, and other relevant issues. Current involved parties include Parks Canada, various funders, various large urban parks across Canada (Toronto, Montreal, Vancouver, the Maritimes and the prairies), and impact measurement/research bodies such as ParkSeek, among others.    ","Network expansion (broadening your professional network);Successful implementation (on the ground change or improvement);Published output (academic paper, report, etc.);Future funding opportunities (grant application);Media attention or recognition;Community engagement or recognition (event participation, increased visitation, awards);Policy impact (recommendations, proof of concept, policy change, etc.);",Very important,Very important,Very important,Not applicable,Very important,Ongoing learning opportunities and the creation of a community of practice,"Consistent funding (so as not to limit team capacity and therefore projects' scopes, to reduce competition between those who should otherwise be collaborating, and to seed future planning instead of short-term projects tied to grant deliverables) ",3,"""One-stop shop"" knowledge-sharing (How/where can we most easily learn what projects one another are engaged in? Knowing is the first step to collaborating.) ",3
2,9-14-23 13:56:50,9-14-23 14:14:28,anonymous,Research,Non-Governmental Organization (NGO),Canada,Secondary importance,Primary importance,,,,,,30,Infrequently,"Often (e.g., quarterly)","Very often (e.g., weekly to monthly)","Often (e.g., quarterly)",Policy,"Local municipal (for example, city pollinator protection plan, neighbourhood initiatives)",Important,Important,Somewhat important,Not important,Not important,Not important,Not important,Not important,,Beginning- getting a project/idea off the ground,Explaining importance of scientific data to support decisions; lack of data to support hypotheses; explanation of scientific method/ approach,"Testing new protocols for green infrastructure, perennial plantings and trees in tree pits. Testing new plants. The project was three years: with Ville de Montréal, local horticultural agents in Ahuntsic-Cartierville, work carried out by our OBNL","Future funding opportunities (grant application);Media attention or recognition;Policy impact (recommendations, proof of concept, policy change, etc.);Network expansion (broadening your professional network);Published output (academic paper, report, etc.);",Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,"Dedicated municipal personnel wanting to change the paradigm for green infrastructure. CLOSE relationship, frequent meetings with municipality, field visits, feedback on interim reports. ",Increased  academic recognition for working with practitioners and municipal partners,2,Improved transfer of research results,3
3,9-14-23 14:00:53,9-14-23 14:14:43,anonymous,Research,Government,Canada,Primary importance,Primary importance,Not applicable,Not applicable,Not applicable,Secondary importance,Primary importance,25,"Often (e.g., quarterly)","Very often (e.g., weekly to monthly)","Often (e.g., quarterly)","Often (e.g., quarterly)",Practitioner,"Federal (for example, 2 Billion tree program, nature-smart climate solution fund)",Important,Very important,Somewhat important,Not important,Not important,Not important,Somewhat important,Not important,capacity;,"Middle- actively working together, maintaining momentum, logistical issues","if it it not the primary focus on all collaborators, then active engagement by other falls off","Integrated Conservation and Development projects.   Over 8 years, conservation practitioners worked with gender specialist and economic/business professionals to identify and development sustainable economic development opportunities for people and communities that life in areas of high conservation value.  ","Network expansion (broadening your professional network);Successful implementation (on the ground change or improvement);Future funding opportunities (grant application);Community engagement or recognition (event participation, increased visitation, awards);",Somewhat important,Very important,Important,,Important,as conservation practitioners we are dealing with wicked problems that do not have easy solutions.   By their very nature these challenges cross disciplines.   To be effective we need to include all those sectors that are impacting the program or goal,make in mandatory.   ,2,"this is not another example.  But just wanted to point out the science rarely informs policy!   Evidence does not inform policy.   unless we have a major paradigm shift, this will continue to be the case ",1
4,9-14-23 14:34:57,9-14-23 14:53:55,anonymous,Management,Government,Canada,Primary importance,Tertiary importance,Primary importance,Primary importance,Primary importance,Secondary importance,,5,"Often (e.g., quarterly)","Very often (e.g., weekly to monthly)","Often (e.g., quarterly)","Very often (e.g., weekly to monthly)",I think I have a good balance of engagement in my current position,"Federal (for example, 2 Billion tree program, nature-smart climate solution fund)",Very important,Not important,Very important,Not important,Not important,Not important,Not important,Not important,,"Middle- actively working together, maintaining momentum, logistical issues",,"The current candidate national urban park project in Halifax, NS is a collaborative initiative with all levels of government actively engaged, as well as the Mi'kmaq of NS, and many different stakeholder groups. We are working towards designation - and project funding is currently confirmed - through 2025. ","Successful implementation (on the ground change or improvement);Policy impact (recommendations, proof of concept, policy change, etc.);Community engagement or recognition (event participation, increased visitation, awards);",Somewhat important,Very important,Very important,Not important,Very important,Political support ,Short-term mandates and funding. Certainty provided by longer term commitments and program/project funding would make a significant difference. ,1,"Reducing red tape and approvals. Collaborative projects seem to benefit from a certain level of flexibility and autonomy, which seems to be increasingly limited in government and larger organisations",3
5,9-14-23 14:31:44,9-14-23 15:53:40,anonymous,Policy,Government,Canada,Primary importance,Primary importance,Primary importance,Primary importance,Primary importance,Primary importance,,15,"Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)","Often (e.g., quarterly)","Often (e.g., quarterly)",Academia and practitioner,"Federal (for example, 2 Billion tree program, nature-smart climate solution fund)",Important,Somewhat important,Not important,Not important,Not important,Not important,Not important,Not important,,"End- finalizing outcomes, deliverables and wrapping up","Working on national-scale policy most cross-sectoral collaboration occurs at the beginning (gathering information and perspectives from a wide range of people and organizations) and middle (seeking feedback on the government's proposed approach which has been informed by pervious collaboration). Toward the end government policy developments tends to turn inward until the product is finalized. We are attempting to shift this process so that the ""finalized"" product continues to be open to amendment based on lessons learned in the first few years of implementation.  ","Park's Canada's National Urban Parks program. Initial phase: 2021-2026. Parks Canada is collaborating with Indigenous governments and organizations, municipalities, provincial governments, and interested stakeholders to create a network of national urban parks in Canada’s large urban centers.","Successful implementation (on the ground change or improvement);Community engagement or recognition (event participation, increased visitation, awards);",Very important,Very important,Important,Not important,Very important,"Developing respectful, trust-based relationships.","A big challenge is that it takes time to develop collaborative relationships, which means it will necessarily take time for the project to see results. It's important to acknowledge that and built it into project plans. ",3,,
6,9-14-23 19:35:19,9-14-23 19:40:45,anonymous,Research,Academia ,Canada,Tertiary importance,Secondary importance,Secondary importance,Tertiary importance,Primary importance,Primary importance,Not applicable,20,Infrequently,"Often (e.g., quarterly)","Very often (e.g., weekly to monthly)","Often (e.g., quarterly)",No,"Local municipal (for example, city pollinator protection plan, neighbourhood initiatives)",Very important,Not important,Somewhat important,Somewhat important,Not important,Not applicable,Not important,Not applicable,,"End- finalizing outcomes, deliverables and wrapping up",Time and money runs out before all of the outcomes/wrapping up happens,With municipalities. Working on shared research questions (urban forest benefits) over three years.,"Published output (academic paper, report, etc.);Network expansion (broadening your professional network);Policy impact (recommendations, proof of concept, policy change, etc.);",Important,Very important,Very important,Very important,Important,,Tim and money that must be allocated to outcomes/wrapping up,3,,
7,9-14-23 20:07:35,9-14-23 20:14:46,anonymous,Research,Academia ,Canada,Primary importance,Secondary importance,Secondary importance,Secondary importance,Secondary importance,Tertiary importance,,20,Infrequently,"Often (e.g., quarterly)","Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)",no,"Local municipal (for example, city pollinator protection plan, neighbourhood initiatives)",Very important,Somewhat important,Somewhat important,Somewhat important,Not important,Not applicable,Not important,Not important,"Institutional,;","End- finalizing outcomes, deliverables and wrapping up",getting research results applied,"forest management with first nations, conservation in highly contested areas, fight again invasive species","Network expansion (broadening your professional network);Successful implementation (on the ground change or improvement);Published output (academic paper, report, etc.);Media attention or recognition;Policy impact (recommendations, proof of concept, policy change, etc.);Community engagement or recognition (event participation, increased visitation, awards);",Important,Very important,Important,Important,Not important,,less mixed messaging from colleagues - doom and gloom vs hope,2,"institutional... we've never done it this way, it will be costly",2
8,9-15-23 8:02:56,9-15-23 8:08:16,anonymous,Research,Academia ,Canada,Primary importance,Secondary importance,Not applicable,Tertiary importance,Tertiary importance,Not applicable,,30,Infrequently,"Often (e.g., quarterly)","Very often (e.g., weekly to monthly)","Often (e.g., quarterly)",Current level engagement is about right,"Provincial (for example, provincial stewardship funds or granting programs, collaboration with provincial biologists)",Very important,Important,Very important,Not important,Somewhat important,Not applicable,Not applicable,Not applicable,,"End- finalizing outcomes, deliverables and wrapping up",translating research outcomes to policy; timelines of grants/funding/academic publishing do not line up well with timelines of governments (election cycles) or the bureaucracy (very slow to change) ,"research on stream connectivity, 5 years; Parks Canada, academic, DFO, consulting companies","Successful implementation (on the ground change or improvement);Published output (academic paper, report, etc.);Community engagement or recognition (event participation, increased visitation, awards);",Not important,Very important,Very important,Very important,Very important,Good interpersonal synergy with the team,,,,
9,9-15-23 8:38:05,9-15-23 9:18:06,anonymous,Research,Government,Canada,Primary importance,Primary importance,Tertiary importance,Not applicable,Not applicable,Tertiary importance,Not applicable,3,Infrequently,"Often (e.g., quarterly)","Very often (e.g., weekly to monthly)",Infrequently,"yes, management and practitioners","Federal (for example, 2 Billion tree program, nature-smart climate solution fund)",Somewhat important,Very important,Somewhat important,Somewhat important,Important,Not applicable,Very important,Not applicable,,Beginning- getting a project/idea off the ground,"My projects are rarely conceptualized with cross-sectoral collaboration. It is rarely included in the initial planning stages, therefore making it harder to incorporate and plan for. Furthermore, even in projects where it is a goal of the project, I have been told it is not part of my role, that it is no longer important at this stage of the research, that since my projects are rather theoretical, it is not necessary to have cross-sectoral collaboration (especially with management and practitioners). I do collaborate often with academia. ","Restoration ecology in disturbed landscapes, for many years there have been meetings and workshops with various practitioners and municipal agencies in the Sudbury area to work on improving restoration outcomes in the area. I was brought on to these projects many years after they started, so collaboration has slowed down and it is not part of my mandate, I am considered an analyst. The initial goal of this cross-sectorial collaboration was to include local stakeholders into the process of reflecting on new solutions to restore the Sudbury landscape, and determine goals and objectives of locals. ","Network expansion (broadening your professional network);Successful implementation (on the ground change or improvement);Published output (academic paper, report, etc.);Policy impact (recommendations, proof of concept, policy change, etc.);Community engagement or recognition (event participation, increased visitation, awards);",Very important,Not applicable,Somewhat important,Not applicable,Not applicable,,"Relationship building being part of all mandates, that it be part of workplace practices to engage in relationship building with various agencies, practitioners, etc. That it be part of our work to participate (infrequently) in local  projects. ",5,,
10,9-15-23 10:25:41,9-15-23 10:44:37,anonymous,Research,Academia ,Canada,Primary importance,Primary importance,Tertiary importance,Secondary importance,Tertiary importance,Secondary importance,,25,"Often (e.g., quarterly)","Often (e.g., quarterly)","Very often (e.g., weekly to monthly)","Often (e.g., quarterly)",No.  Perfect balance now.,"Provincial (for example, provincial stewardship funds or granting programs, collaboration with provincial biologists)",Very important,Somewhat important,Somewhat important,Not important,Not important,Somewhat important,Somewhat important,Somewhat important,No;,Beginning- getting a project/idea off the ground,"Issues of knowledge, language/discipline jargon, and common goals make it difficult to start projects.  Also people's time (academics and policy/practitioners) and understanding of financial implications and opportunties.","Natural Areas Stewardship and Restoration in Urban Forests. Started 2017 and ongoing.  City of Toronto, private citizens, University.","Successful implementation (on the ground change or improvement);Network expansion (broadening your professional network);Media attention or recognition;Policy impact (recommendations, proof of concept, policy change, etc.);Community engagement or recognition (event participation, increased visitation, awards);",Important,Very important,Important,Somewhat important,Important,"Flexibility to new ideas and inclusivity to make sure everyone has a say and a role; Tenacity working on a shared vision; Regular meetings and updates to share progress and address obstacles or different points of view; Annual and regular 'fun' events with team leaders and members; Few key leaders with ideas, initiative, City contacts, and access to media.",Cross-sectoral engagement has no direct reward in a research-intense university for young tenure-track academics. Peer-reviewed publications and Tri-Council funding are what is used to assess impact and neither are directly relevant to on-the-ground practitioner or policy implementation success.  Large gap in goals leaving this work to more senior academics (post-tenure) and have more cross-sectoral connections.  Support that rewards these activities for young academics would accelerate engagement and success.,1,,
